Edition	TaskCode	Week	Training Type	Task Start date	Task End Date	Completion date			Owner	"Status
(PickList)"	EditionTaskCode
2310-A Partners	W4T02	Week 4	GLR	10/23/2023	10/26/2023	12/3/2023			Afonso	Done	2310-A PartnersW4T02
2310-A Partners	W4T03	Week 4	GLR	10/23/2023	10/29/2023	12/3/2023			Telmo	Done	2310-A PartnersW4T03
2310-A Partners	W5T01	Week 5	GLR	10/30/2023	10/31/2023				Afonso	Done	2310-A PartnersW5T01
2310-A Partners	W5T02	Week 5	GLR	10/30/2023	11/2/2023	11/3/2023				Done	2310-A PartnersW5T02
2310-A Partners	W5T03	Week 5	GLR	10/30/2023	11/5/2023				Telmo	Done	2310-A PartnersW5T03
2310-A Partners	W5T04	Week 5	GLR	10/30/2023	11/5/2023				Telmo	Done	2310-A PartnersW5T04
2310-A Partners	W5T05	Week 5	GLR	10/30/2023	11/5/2023				Luis	Done	2310-A PartnersW5T05
2310-A Partners	W5T06	Week 5	GLR	10/30/2023	11/5/2023	11/2/2023			Luis	Done	2310-A PartnersW5T06
2310-A Partners	W5T07	Week 5	GLR	#N/A	#N/A	11/3/2023			Telmo	Done	2310-A PartnersW5T07
2310-A Partners	W5T08	Week 5	GLR	#N/A	#N/A	11/2/2023			Luis	Done	2310-A PartnersW5T08
2310-A Partners	W5T09	Week 5	GLR	#N/A	#N/A	11/2/2023			Luis	Done	2310-A PartnersW5T09
2310-A Partners	W6T01	Week 6	GLR	11/6/2023	11/12/2023				Telmo	Done	2310-A PartnersW6T01
2310-A Partners	W6T02	Week 6	GLR	11/6/2023	11/12/2023				Telmo	Done	2310-A PartnersW6T02
2310-A Partners	W6T03	Week 6	GLR	11/6/2023	11/12/2023				Telmo	Done	2310-A PartnersW6T03
2310-A Partners	W6T04	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T04
2310-A Partners	W6T05	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T05
2310-A Partners	W6T06	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T06
2310-A Partners	W6T07	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T07
2310-A Partners	W6T08	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T08
2310-A Partners	W6T09	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T09
2310-A Partners	W6T10	Week 6	GLR	#N/A	#N/A				Telmo	Done	2310-A PartnersW6T10
2310-A Partners	W7T01	Week 7	GLR	11/13/2023	11/19/2023				Telmo	Done	2310-A PartnersW7T01
2310-A Partners	W8T01	Week 8	GLR	11/20/2023	11/26/2023				Telmo	Done	2310-A PartnersW8T01
2310-A Partners	W8T02	Week 8	GLR	11/20/2023	11/26/2023				Telmo	Done	2310-A PartnersW8T02
2310-A Partners	W8T03	Week 8	GLR	#N/A	#N/A	GLR			Miguel	Done	2310-A PartnersW8T03
2310-A Partners	W8T04	Week 8	GLR	11/20/2023	11/26/2023				Telmo	Done	2310-A PartnersW8T04
2310-A Partners	W8T05	Week 8	GLR	11/20/2023	11/26/2023				Telmo	Done	2310-A PartnersW8T05
2310-B Partners	WM5T01	Week -5	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-B PartnersWM5T01
2310-B Partners	WM5T02	Week -5	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-B PartnersWM5T02
2310-B Partners	WM5T03	Week -5	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-B PartnersWM5T03
2310-B Partners	WM5T04	Week -5	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-B PartnersWM5T04
2310-B Partners	WM5T05	Week -5	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-B PartnersWM5T05
2310-B Partners	WM5T06	Week -5	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-B PartnersWM5T06
2310-B Partners	WM5T07	Week -5	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-B PartnersWM5T07
2310-B Partners	WM4T01	Week -4	GLR	9/18/2023	9/24/2023	10/29/2023			Telmo	Done	2310-B PartnersWM4T01
2310-B Partners	WM4T02	Week -4	GLR	#N/A	#N/A	10/29/2023			Telmo	Done	2310-B PartnersWM4T02
2310-B Partners	WM4T03	Week -4	GLR	#N/A	#N/A	10/29/2023			Telmo	Done	2310-B PartnersWM4T03
2310-B Partners	WM3T01	Week -3	GLR	9/25/2023	10/1/2023	11/5/2023			Telmo	Done	2310-B PartnersWM3T01
2310-B Partners	WM3T02	Week -3	GLR	9/25/2023	10/1/2023	11/5/2023			Telmo	Done	2310-B PartnersWM3T02
2310-B Partners	WM3T03	Week -3	GLR	#N/A	#N/A	11/5/2023			Telmo	Done	2310-B PartnersWM3T03
2310-B Partners	WM3T04	Week -3	GLR	#N/A	#N/A	11/5/2023			Telmo	Done	2310-B PartnersWM3T04
2310-B Partners	WM3T05	Week -3	GLR	#N/A	#N/A	11/5/2023			Telmo	Done	2310-B PartnersWM3T05
2310-B Partners	WM2T01	Week -2	GLR	10/2/2023	10/8/2023	11/12/2023			Telmo	Done	2310-B PartnersWM2T01
2310-B Partners	WM2T02	Week -2	GLR	10/2/2023	10/8/2023	11/12/2023			Telmo	Done	2310-B PartnersWM2T02
